video,frame,timestamp_sec,track_id,time_in_roi_sec,reasons,wall_time
52,1,0.03,1,0.0,CROWD,2026-06-03 10:16:54
52,1,0.03,2,0.0,CROWD,2026-06-03 10:16:54
52,1,0.03,3,0.0,CROWD,2026-06-03 10:16:54
52,1,0.03,4,0.0,CROWD,2026-06-03 10:16:54
52,3,0.10,5,0.0,CROWD,2026-06-03 10:16:55
52,3,0.10,7,0.0,CROWD,2026-06-03 10:16:55
52,4,0.13,8,0.0,CROWD,2026-06-03 10:16:55
52,5,0.17,11,0.0,CROWD,2026-06-03 10:16:55
52,10,0.33,18,0.0,CROWD,2026-06-03 10:16:56
52,13,0.43,21,0.0,CROWD,2026-06-03 10:16:56
52,15,0.50,2,0.5,CROWD+FACE?,2026-06-03 10:16:57
52,22,0.73,37,0.0,CROWD,2026-06-03 10:16:58
52,22,0.73,38,0.0,CROWD,2026-06-03 10:16:58
52,29,0.97,46,0.0,CROWD,2026-06-03 10:16:59
52,50,1.67,8,1.5,TAMPER-HIT+CROWD,2026-06-03 10:17:02
52,63,2.10,2,2.1,TAMPER-HIT+CROWD+FACE?,2026-06-03 10:17:04
52,63,2.10,11,1.9,TAMPER-HIT+CROWD,2026-06-03 10:17:04
52,63,2.10,18,1.8,TAMPER-HIT+CROWD,2026-06-03 10:17:04
52,63,2.10,38,1.4,TAMPER-HIT+CROWD,2026-06-03 10:17:04
52,64,2.14,66,0.0,CROWD,2026-06-03 10:17:05
52,68,2.27,7,2.2,TAMPER-HIT+CROWD,2026-06-03 10:17:05
52,68,2.27,37,1.5,TAMPER-HIT+CROWD,2026-06-03 10:17:05
52,80,2.67,1,2.6,TAMPER-HIT+CROWD,2026-06-03 10:17:07
52,81,2.70,68,0.5,TAMPER-HIT+CROWD,2026-06-03 10:17:07
52,81,2.70,69,0.5,CROWD+FACE?,2026-06-03 10:17:07
52,82,2.74,5,2.6,TAMPER-HIT+CROWD,2026-06-03 10:17:08
52,82,2.74,15,2.5,TAMPER-HIT+CROWD,2026-06-03 10:17:08
52,86,2.87,4,2.8,TAMPER-HIT+CROWD,2026-06-03 10:17:08
52,86,2.87,21,2.4,TAMPER-HIT+CROWD,2026-06-03 10:17:08
52,88,2.94,42,2.0,TAMPER-HIT+CROWD,2026-06-03 10:17:09
52,120,4.00,122,0.0,CROWD,2026-06-03 10:17:14
52,140,4.67,94,1.8,TAMPER-HIT+CROWD,2026-06-03 10:17:18
52,141,4.70,135,0.0,CROWD,2026-06-03 10:17:18
52,142,4.74,72,2.4,TAMPER-HIT+CROWD+FACE?,2026-06-03 10:17:18
