video,frame,timestamp_sec,track_id,time_in_roi_sec,reasons,wall_time
13,7,0.29,1,0.3,CROWD,2026-06-04 00:46:18
13,7,0.29,2,0.0,CROWD,2026-06-04 00:46:19
13,10,0.42,3,0.0,CROWD,2026-06-04 00:46:20
13,13,0.54,5,0.0,CROWD,2026-06-04 00:46:21
13,15,0.63,1,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-04 00:46:22
13,21,0.88,2,0.6,CROWD+FACE?,2026-06-04 00:46:25
13,23,0.96,14,0.0,CROWD,2026-06-04 00:46:26
13,24,1.00,3,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-04 00:46:27
13,27,1.13,5,0.6,CROWD+FACE?,2026-06-04 00:46:28
13,31,1.29,8,0.6,TAMPER-POSE+CROWD,2026-06-04 00:46:31
13,37,1.54,14,0.6,TAMPER-POSE+CROWD,2026-06-04 00:46:34
13,38,1.58,15,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-04 00:46:34
13,39,1.63,28,0.0,CROWD,2026-06-04 00:46:35
13,53,2.21,28,0.6,TAMPER-POSE+CROWD,2026-06-04 00:46:43
13,62,2.59,34,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-04 00:46:48
13,67,2.79,47,0.0,CROWD,2026-06-04 00:46:51
13,68,2.84,37,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-04 00:46:51
13,79,3.29,44,0.6,CROWD+FACE?,2026-06-04 00:46:58
13,81,3.38,47,0.6,CROWD+FACE?,2026-06-04 00:46:59
13,94,3.92,57,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-04 00:47:07
13,94,3.92,62,0.0,CROWD,2026-06-04 00:47:07
13,96,4.00,63,0.0,CROWD,2026-06-04 00:47:08
13,97,4.05,64,0.0,CROWD,2026-06-04 00:47:08
13,108,4.50,62,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-04 00:47:15
13,110,4.59,63,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-04 00:47:16
13,111,4.63,64,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-04 00:47:17
13,130,5.42,67,0.9,TAMPER-POSE+CROWD+FACE?,2026-06-04 00:47:28
13,132,5.51,69,0.6,CROWD+FACE?,2026-06-04 00:47:29
13,251,10.47,93,3.7,CROWD,2026-06-04 00:48:20
