video,frame,timestamp_sec,track_id,time_in_roi_sec,reasons,wall_time
30b,8,0.32,1,0.3,CROWD,2026-06-04 01:28:55
30b,22,0.88,7,0.0,CROWD,2026-06-04 01:29:02
30b,34,1.36,9,0.0,CROWD,2026-06-04 01:29:08
30b,56,2.24,9,0.9,CROWD+FACE?,2026-06-04 01:29:19
30b,64,2.56,12,0.0,CROWD,2026-06-04 01:29:23
30b,80,3.20,13,0.6,CROWD+FACE?,2026-06-04 01:29:32
30b,151,6.04,25,0.6,CROWD+FACE?,2026-06-04 01:30:14
