video,frame,timestamp_sec,track_id,time_in_roi_sec,reasons,wall_time
5,157,6.28,1,1.2,CROWD,2026-06-03 10:51:24
5,157,6.28,2,0.2,CROWD,2026-06-03 10:51:24
5,218,8.72,6,0.6,CROWD+FACE?,2026-06-03 10:51:36
5,238,9.52,7,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-03 10:51:41
5,299,11.96,7,3.0,TAMPER-POSE+TAMPER-HIT+CROWD+FACE?,2026-06-03 10:51:53
5,299,11.96,8,2.9,TAMPER-HIT+CROWD+FACE?,2026-06-03 10:51:53
5,299,11.96,10,2.5,TAMPER-HIT+CROWD,2026-06-03 10:51:53
5,324,12.96,24,3.6,CROWD,2026-06-03 10:51:58
5,332,13.28,29,3.6,CROWD,2026-06-03 10:52:00
