video,frame,timestamp_sec,track_id,time_in_roi_sec,reasons,wall_time
76,22,0.88,1,0.1,CROWD,2026-06-03 11:33:46
76,24,0.96,3,0.0,CROWD,2026-06-03 11:33:46
76,28,1.12,4,0.0,CROWD,2026-06-03 11:33:47
76,33,1.32,1,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-03 11:33:48
76,36,1.44,2,0.6,CROWD+FACE?,2026-06-03 11:33:48
76,38,1.52,3,0.6,CROWD+FACE?,2026-06-03 11:33:49
76,42,1.68,4,0.6,CROWD+FACE?,2026-06-03 11:33:49
76,87,3.48,9,0.0,CROWD,2026-06-03 11:33:57
76,101,4.04,9,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-03 11:34:00
76,102,4.08,14,0.2,CROWD,2026-06-03 11:34:00
76,105,4.20,17,0.0,CROWD,2026-06-03 11:34:01
76,112,4.48,14,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-03 11:34:02
76,123,4.92,18,0.6,CROWD+FACE?,2026-06-03 11:34:04
76,132,5.28,25,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-03 11:34:06
76,133,5.32,26,0.6,CROWD+FACE?,2026-06-03 11:34:06
76,139,5.56,33,0.0,CROWD,2026-06-03 11:34:07
76,142,5.68,28,0.6,CROWD+FACE?,2026-06-03 11:34:08
76,153,6.12,33,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-03 11:34:10
76,160,6.40,35,0.6,CROWD+FACE?,2026-06-03 11:34:12
76,170,6.80,38,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-03 11:34:14
