video,frame,timestamp_sec,track_id,time_in_roi_sec,reasons,wall_time
75,78,3.12,1,0.6,CROWD,2026-06-03 11:19:16
75,80,3.20,2,0.6,CROWD+FACE?,2026-06-03 11:19:17
75,159,6.36,13,0.0,CROWD,2026-06-03 11:19:33
75,173,6.92,13,0.6,CROWD+FACE?,2026-06-03 11:19:36
75,214,8.56,24,0.0,CROWD,2026-06-03 11:19:44
75,228,9.12,24,0.6,CROWD+FACE?,2026-06-03 11:19:47
75,239,9.56,26,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-03 11:19:50
75,350,14.00,36,4.2,TAMPER-POSE+CROWD+FACE?,2026-06-03 11:20:14
75,479,19.16,43,0.0,CROWD,2026-06-03 11:20:39
75,485,19.40,46,0.0,CROWD,2026-06-03 11:20:40
75,489,19.56,48,7.2,CROWD,2026-06-03 11:20:41
75,493,19.72,43,0.6,CROWD+FACE?,2026-06-03 11:20:42
75,499,19.96,46,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-03 11:20:43
75,508,20.32,49,7.7,CROWD+FACE?,2026-06-03 11:20:45
75,649,25.96,52,11.0,FACE?,2026-06-03 11:21:15
